TimeStamp, X, Y, Z
8/13/2020 23:53,0.041,0.037,1.011
8/13/2020 23:53,0.04,0.04,1.017
8/13/2020 23:53,0.044,0.041,1.012
8/13/2020 23:53,0.037,0.037,1.013
8/13/2020 23:53,0.038,0.039,1.011
8/13/2020 23:53,0.038,0.038,1.008
8/13/2020 23:53,0.042,0.04,1.012
8/13/2020 23:53,0.038,0.041,1.011
8/13/2020 23:53,0.041,0.039,1.012
8/13/2020 23:53,0.036,0.04,1.016
8/13/2020 23:53,0.044,0.038,1.008
8/13/2020 23:53,0.037,0.037,1.015
8/13/2020 23:53,0.037,0.044,1.016
8/13/2020 23:53,0.04,0.038,1.016
8/13/2020 23:53,0.036,0.034,1.016
8/13/2020 23:53,0.037,0.039,1.014
8/13/2020 23:53,0.04,0.04,1.015
8/13/2020 23:53,0.038,0.041,1.014
8/13/2020 23:53,0.04,0.041,1.007
8/13/2020 23:53,0.043,0.044,1.011
8/13/2020 23:53,0.044,0.037,1.014
8/13/2020 23:53,0.036,0.038,1.016
8/13/2020 23:53,0.037,0.042,1.017
8/13/2020 23:53,0.036,0.037,1.013
8/13/2020 23:53,0.033,0.042,1.013
8/13/2020 23:53,0.034,0.039,1.009
8/13/2020 23:53,0.038,0.045,1.012
8/13/2020 23:53,0.041,0.04,1.012
8/13/2020 23:53,0.037,0.039,1.011
8/13/2020 23:53,0.037,0.037,1.012
8/13/2020 23:53,0.039,0.038,1.018
8/13/2020 23:53,0.039,0.038,1.014
8/13/2020 23:53,0.037,0.039,1.014
8/13/2020 23:53,0.038,0.042,1.018
8/13/2020 23:53,0.036,0.045,1.019
8/13/2020 23:53,0.041,0.039,1.009
8/13/2020 23:53,0.038,0.04,1.014
8/13/2020 23:53,0.038,0.041,1.011
8/13/2020 23:53,0.04,0.036,1.01
8/13/2020 23:53,0.038,0.04,1.018
8/13/2020 23:53,0.035,0.039,1.003
8/13/2020 23:53,0.039,0.038,1.014
8/13/2020 23:54,0.038,0.039,1.012
8/13/2020 23:54,0.039,0.039,1.007
8/13/2020 23:54,0.039,0.041,1.012
8/13/2020 23:54,0.038,0.043,1.009
8/13/2020 23:54,0.037,0.038,1.015
8/13/2020 23:54,0.038,0.044,1.011
8/13/2020 23:54,0.037,0.041,1.011
8/13/2020 23:54,0.039,0.043,1.007
8/13/2020 23:54,0.037,0.039,1.019
8/13/2020 23:54,0.041,0.04,1.014
8/13/2020 23:54,0.038,0.044,1.01
8/13/2020 23:54,0.04,0.041,1.013
8/13/2020 23:54,0.036,0.044,1.009
8/13/2020 23:54,0.038,0.045,1.013
8/13/2020 23:54,0.037,0.045,1.016
8/13/2020 23:54,0.037,0.041,1.014
8/13/2020 23:54,0.035,0.045,1.012
8/13/2020 23:54,0.037,0.04,1.014
8/13/2020 23:54,0.039,0.045,1.007
8/13/2020 23:54,0.039,0.044,1.014
8/13/2020 23:54,0.039,0.041,1.017
